data_entrada;especie;serie;numero;data_documento;codigo_emitente;uf_orig;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;cod;base_calculo;aliq;imposto_creditado;obs;pagina;cnjp;data_ini;data_fin
01/11/2008;NF;2;000358;01/11/2008;10000249;GO;6682,52;2501;2501;ICMS;2;6682,52;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000358;;;;;;;IPI;3;6682,52;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;2;000359;01/11/2008;10000249;GO;64603,95;2501;2501;ICMS;2;64603,95;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000359;;;;;;;IPI;3;64603,95;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000571;31/10/2008;301706;RS;79832,28;2501;2501;ICMS;3;79832,28;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000571;;;;;;;IPI;3;79832,28;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000576;31/10/2008;301706;RS;81885,00;2501;2501;ICMS;3;81885,00;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000576;;;;;;;IPI;3;81885,00;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;CT;U;000587;01/11/2008;307222;SC;1642,05;1353;1353;ICMS;1;1642,05;17,00;279,1;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;CT;U;000589;01/11/2008;307222;SC;1642,05;1353;1353;ICMS;1;1642,05;17,00;279,1;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;CT;U;000590;01/11/2008;307222;SC;1642,05;1353;1353;ICMS;1;1642,05;17,00;279,1;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;CT;U;000591;01/11/2008;307222;SC;1464,64;1353;1353;ICMS;1;1464,64;17,00;248,9;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;CT;U;000592;01/11/2008;307222;SC;1642,05;1353;1353;ICMS;1;1642,05;17,00;279,1;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;CT;U;000594;01/11/2008;307222;SC;1642,05;1353;1353;ICMS;1;1642,05;17,00;279,1;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000611;01/11/2008;301706;RS;41452,95;2501;2501;ICMS;3;41452,95;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000611;;;;;;;IPI;3;41452,95;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000612;01/11/2008;301706;RS;21819,60;2501;2501;ICMS;3;21819,60;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000612;;;;;;;IPI;3;21819,60;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000614;01/11/2008;301706;RS;33450,45;2501;2501;ICMS;3;33450,45;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000614;;;;;;;IPI;3;33450,45;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000615;01/11/2008;301706;RS;18543,60;2501;2501;ICMS;3;18543,60;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000615;;;;;;;IPI;3;18543,60;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000616;01/11/2008;301706;RS;21819,60;2501;2501;ICMS;3;21819,60;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;000616;;;;;;;IPI;3;21819,60;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001166;01/11/2008;301708;MS;84368,34;2501;2501;ICMS;3;84368,34;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001166;;;;;;;IPI;3;84368,34;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001167;01/11/2008;301708;MS;18226,02;2501;2501;ICMS;3;18226,02;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001167;;;;;;;IPI;3;18226,02;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001177;01/11/2008;301708;MS;36803,20;2501;2501;ICMS;3;36803,20;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001177;;;;;;;IPI;3;36803,20;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001178;01/11/2008;301708;MS;76034,28;2501;2501;ICMS;3;76034,28;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001178;;;;;;;IPI;3;76034,28;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001322;30/10/2008;10000023;RS;102912,48;2501;2501;ICMS;2;102912,48;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001322;;;;;;;IPI;3;102912,48;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001331;30/10/2008;10000023;RS;102912,48;2501;2501;ICMS;2;102912,48;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001331;;;;;;;IPI;3;102912,48;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001396;31/10/2008;10000023;RS;88111,80;2501;2501;ICMS;2;88111,80;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001396;;;;;;;IPI;3;88111,80;;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
01/11/2008;NF;;001403;31/10/2008;10000023;RS;88111,80;2501;2501;ICMS;2;88111,80;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/11/2008;30/11/2008
