especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;455891;01;EX;161701,43;7501;7501;ICMS;0,00;0,00;0,00;161701,43;0,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455891;;;;;;IPI;0,00;;0,00;0,00;161701,43;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455892;01;EX;334651,50;7501;7501;ICMS;0,00;0,00;0,00;334651,50;0,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455892;;;;;;IPI;0,00;;0,00;0,00;334651,50;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455893;01;EX;160310,52;7501;7501;ICMS;0,00;0,00;0,00;160310,52;0,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455893;;;;;;IPI;0,00;;0,00;0,00;160310,52;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455894;01;EX;28066,97;7127;7127;ICMS;0,00;0,00;0,00;28066,97;0,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455894;;;;;;IPI;0,00;;0,00;0,00;28066,97;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455895;01;SC;31797,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;31797,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455895;;;;;;IPI;0,00;;0,00;0,00;31797,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455896;01;SC;17528,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;17528,40;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455896;;;;;;IPI;0,00;;0,00;0,00;17528,40;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455897;01;SC;17398,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;17398,80;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455897;;;;;;IPI;0,00;;0,00;0,00;17398,80;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455898;01;SC;21031,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;21031,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455898;;;;;;IPI;0,00;;0,00;0,00;21031,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455899;01;SC;21196,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;21196,80;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455899;;;;;;IPI;0,00;;0,00;0,00;21196,80;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455900;01;SC;12562,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;12562,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455900;;;;;;IPI;0,00;;0,00;0,00;12562,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455901;01;SC;21299,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;21299,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455901;;;;;;IPI;0,00;;0,00;0,00;21299,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455902;01;SC;75617,70;5905;5905;ICMS;0,00;0,00;0,00;0,00;75617,70;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455902;;;;;;IPI;0,00;;0,00;0,00;75617,70;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455903;01;SC;2697,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;2697,60;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455903;;;;;;IPI;0,00;;0,00;0,00;2697,60;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455904;01;SC;48417,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;48417,60;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455904;;;;;;IPI;0,00;;0,00;0,00;48417,60;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455905;01;SC;9997,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;9997,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455905;;;;;;IPI;0,00;;0,00;0,00;9997,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455906;01;SC;5761,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;5761,60;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455906;;;;;;IPI;0,00;;0,00;0,00;5761,60;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455907;01;SC;1340,96;5905;5905;ICMS;0,00;0,00;0,00;0,00;1340,96;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455907;;;;;;IPI;0,00;;0,00;0,00;1340,96;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455908;01;SC;33037,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;33037,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455908;;;;;;IPI;0,00;;0,00;0,00;33037,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455909;01;SC;13358,52;5905;5905;ICMS;0,00;0,00;0,00;0,00;13358,52;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455909;;;;;;IPI;0,00;;0,00;0,00;13358,52;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455910;01;SC;8611,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;8611,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455910;;;;;;IPI;0,00;;0,00;0,00;8611,20;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455911;01;SC;6246,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;6246,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455911;;;;;;IPI;0,00;;0,00;0,00;6246,00;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455912;01;SC;7612,65;5905;5905;ICMS;0,00;0,00;0,00;0,00;7612,65;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455912;;;;;;IPI;0,00;;0,00;0,00;7612,65;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455913;01;SC;22103,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;22103,40;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455913;;;;;;IPI;0,00;;0,00;0,00;22103,40;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455914;01;SC;2845,50;5905;5905;ICMS;0,00;0,00;0,00;0,00;2845,50;;1;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455914;;;;;;IPI;0,00;;0,00;0,00;2845,50;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455915;01;SC;972,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;972,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455891;;;;;;IPI;0,00;;0,00;0,00;972,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455916;01;SC;7575,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;7575,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455892;;;;;;IPI;0,00;;0,00;0,00;7575,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455917;01;SC;1677,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;1677,60;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455893;;;;;;IPI;0,00;;0,00;0,00;1677,60;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455918;01;SC;2059,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;2059,20;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455894;;;;;;IPI;0,00;;0,00;0,00;2059,20;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455919;01;SC;32544,96;5905;5905;ICMS;0,00;0,00;0,00;0,00;32544,96;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455895;;;;;;IPI;0,00;;0,00;0,00;32544,96;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455920;01;SC;9213,75;5905;5905;ICMS;0,00;0,00;0,00;0,00;9213,75;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455896;;;;;;IPI;0,00;;0,00;0,00;9213,75;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455921;01;SC;114760,80;5905;5905;ICMS;0,00;0,00;0,00;114760,80;0,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455897;;;;;;IPI;0,00;;0,00;0,00;114760,80;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455922;01;SC;101290,20;5905;5905;ICMS;0,00;0,00;0,00;101290,20;0,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455898;;;;;;IPI;0,00;;0,00;0,00;101290,20;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455923;01;SC;17904,16;5905;5905;ICMS;0,00;0,00;0,00;0,00;17904,16;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455899;;;;;;IPI;0,00;;0,00;0,00;17904,16;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455924;01;SC;8151,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;8151,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455900;;;;;;IPI;0,00;;0,00;0,00;8151,00;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455925;01;SC;28670,64;5905;5905;ICMS;0,00;0,00;0,00;0,00;28670,64;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455901;;;;;;IPI;0,00;;0,00;0,00;28670,64;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455926;01;SC;30903,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;30903,60;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455902;;;;;;IPI;0,00;;0,00;0,00;30903,60;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455927;01;SC;9115,50;5905;5905;ICMS;0,00;0,00;0,00;0,00;9115,50;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455903;;;;;;IPI;0,00;;0,00;0,00;9115,50;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455928;01;SC;2497,50;5905;5905;ICMS;0,00;0,00;0,00;0,00;2497,50;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455904;;;;;;IPI;0,00;;0,00;0,00;2497,50;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455929;01;SC;19756,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;19756,80;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455905;;;;;;IPI;0,00;;0,00;0,00;19756,80;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;1;455930;01;SC;37504,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;37504,80;;2;86.547.619/0108-75;01/10/2008;31/10/2008
NF;;455906;;;;;;IPI;0,00;;0,00;0,00;37504,80;;2;86.547.619/0108-75;01/10/2008;31/10/2008
