especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;464940;01;EX;202621,26;7501;7501;ICMS;0,00;0,00;0,00;202621,26;0,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464940;;;;;;IPI;0,00;;0,00;0,00;202621,26;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464941;01;EX;140687,34;7501;7501;ICMS;0,00;0,00;0,00;140687,34;0,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464941;;;;;;IPI;0,00;;0,00;0,00;140687,34;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464942;01;EX;121081,25;7501;7501;ICMS;0,00;0,00;0,00;121081,25;0,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464942;;;;;;IPI;0,00;;0,00;0,00;121081,25;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464943;01;EX;173317,65;7501;7501;ICMS;0,00;0,00;0,00;173317,65;0,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464943;;;;;;IPI;0,00;;0,00;0,00;173317,65;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464944;01;EX;;;;;;;;;;Cancelada;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464945;01;EX;;;;;;;;;;Cancelada;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464946;01;SC;150364,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;150364,80;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464946;;;;;;IPI;0,00;;0,00;0,00;150364,80;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464947;01;SC;23846,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;23846,40;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464947;;;;;;IPI;0,00;;0,00;0,00;23846,40;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464948;01;SC;56493,75;5905;5905;ICMS;0,00;0,00;0,00;0,00;56493,75;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464948;;;;;;IPI;0,00;;0,00;0,00;56493,75;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464949;01;SC;51390,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;51390,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464949;;;;;;IPI;0,00;;0,00;0,00;51390,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464950;01;SC;4649,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;4649,40;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464950;;;;;;IPI;0,00;;0,00;0,00;4649,40;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464951;01;SC;1769,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;1769,60;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464951;;;;;;IPI;0,00;;0,00;0,00;1769,60;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;1;464952;01;SC;10368,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;10368,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
NF;;464952;;;;;;IPI;0,00;;0,00;0,00;10368,00;;1;86.547.619/0108-75;01/11/2008;30/11/2008
