especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;000801;01;SC;115740,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;115740,60;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000801;;;;;;IPI;0,00;;0,00;0,00;115740,60;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000802;01;SC;40489,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;40489,20;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000802;;;;;;IPI;0,00;;0,00;0,00;40489,20;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000803;01;SC;4435,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;4435,20;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000803;;;;;;IPI;0,00;;0,00;0,00;4435,20;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000804;01;SC;6560,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;6560,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000804;;;;;;IPI;0,00;;0,00;0,00;6560,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000805;01;SC;17199,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;17199,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000805;;;;;;IPI;0,00;;0,00;0,00;17199,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000806;01;SC;34886,02;5905;5905;ICMS;0,00;0,00;0,00;0,00;34886,02;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000806;;;;;;IPI;0,00;;0,00;0,00;34886,02;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000807;01;SC;7686,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;7686,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000807;;;;;;IPI;0,00;;0,00;0,00;7686,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000808;01;SC;34030,56;5905;5905;ICMS;0,00;0,00;0,00;0,00;34030,56;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000808;;;;;;IPI;0,00;;0,00;0,00;34030,56;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000809;01;SC;120203,70;5905;5905;ICMS;0,00;0,00;0,00;0,00;120203,70;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000809;;;;;;IPI;0,00;;0,00;0,00;120203,70;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000810;01;SC;47001,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;47001,60;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000810;;;;;;IPI;0,00;;0,00;0,00;47001,60;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000811;01;SC;8903,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;8903,40;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000811;;;;;;IPI;0,00;;0,00;0,00;8903,40;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000812;01;SC;156900,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;156900,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000812;;;;;;IPI;0,00;;0,00;0,00;156900,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000813;01;EX;131545,39;7127;7127;ICMS;0,00;0,00;0,00;131545,39;0,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000813;;;;;;IPI;0,00;;0,00;0,00;131545,39;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000814;01;EX;131545,39;7127;7127;ICMS;0,00;0,00;0,00;131545,39;0,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000814;;;;;;IPI;0,00;;0,00;0,00;131545,39;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000815;01;EX;51990,10;7127;7127;ICMS;0,00;0,00;0,00;51990,10;0,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;;000815;;;;;;IPI;0,00;;0,00;0,00;51990,10;;1;86.547.619/0108-75;01/12/2008;31/12/2008
NF;1;000816;01;EX;51990,10;7127;7127;ICMS;0,00;0,00;0,00;51990,10;0,00;;1;86.547.619/0108-75;01/12/2008;31/12/2008
