especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;007755;01;SC;119826,30;5905;5905;ICMS;0,00;0,00;0,00;0,00;119826,30;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007755;;;;;;IPI;0,00;;0,00;0,00;119826,30;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007756;01;SC;97561,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;97561,80;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007756;;;;;;IPI;0,00;;0,00;0,00;97561,80;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007757;01;SC;3571,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;3571,20;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007757;;;;;;IPI;0,00;;0,00;0,00;3571,20;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007758;01;SC;75276,96;5905;5905;ICMS;0,00;0,00;0,00;0,00;75276,96;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007758;;;;;;IPI;0,00;;0,00;0,00;75276,96;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007759;01;SC;57816,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;57816,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007759;;;;;;IPI;0,00;;0,00;0,00;57816,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007760;01;SC;21610,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;21610,80;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007760;;;;;;IPI;0,00;;0,00;0,00;21610,80;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007761;01;SC;103291,20;5905;5905;ICMS;0,00;0,00;0,00;103291,20;0,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007761;;;;;;IPI;0,00;;0,00;0,00;103291,20;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007762;01;SC;125574,85;5905;5905;ICMS;0,00;0,00;0,00;125574,85;0,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007762;;;;;;IPI;0,00;;0,00;0,00;125574,85;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007763;01;SC;119735,39;5905;5905;ICMS;0,00;0,00;0,00;119735,39;0,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007763;;;;;;IPI;0,00;;0,00;0,00;119735,39;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007764;01;SC;33912,45;5905;5905;ICMS;0,00;0,00;0,00;0,00;33912,45;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007764;;;;;;IPI;0,00;;0,00;0,00;33912,45;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007765;01;SC;21052,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;21052,20;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007765;;;;;;IPI;0,00;;0,00;0,00;21052,20;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007766;01;SC;10030,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;10030,80;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007766;;;;;;IPI;0,00;;0,00;0,00;10030,80;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007767;01;SC;125121,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;125121,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007767;;;;;;IPI;0,00;;0,00;0,00;125121,00;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;1;007768;01;SC;27401,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;27401,40;;1;01.838.723/0169-88;01/04/2009;30/04/2009
NF;;007768;;;;;;IPI;0,00;;0,00;0,00;27401,40;;1;01.838.723/0169-88;01/04/2009;30/04/2009
