especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;026617;01;EX;403000,74;7501;7501;ICMS;0,00;0,00;0,00;403000,74;0,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026617;;;;;;IPI;0,00;;0,00;0,00;403000,74;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026618;01;EX;356157,89;7501;7501;ICMS;0,00;0,00;0,00;356157,89;0,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026618;;;;;;IPI;0,00;;0,00;0,00;356157,89;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026619;01;EX;1655606,54;7501;7501;ICMS;0,00;0,00;0,00;1655606,54;0,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026619;;;;;;IPI;0,00;;0,00;0,00;1655606,54;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026620;01;EX;2540476,48;7127;7127;ICMS;0,00;0,00;0,00;2540476,48;0,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026620;;;;;;IPI;0,00;;0,00;0,00;2540476,48;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026621;01;EX;1424631,54;7501;7501;ICMS;0,00;0,00;0,00;1424631,54;0,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026621;;;;;;IPI;0,00;;0,00;0,00;1424631,54;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026622;01;SC;69832,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;69832,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026622;;;;;;IPI;0,00;;0,00;0,00;69832,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026623;01;SC;43982,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;43982,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026623;;;;;;IPI;0,00;;0,00;0,00;43982,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026624;01;SC;42822,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;42822,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026624;;;;;;IPI;0,00;;0,00;0,00;42822,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026625;01;SC;5124,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;5124,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026625;;;;;;IPI;0,00;;0,00;0,00;5124,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026626;01;SC;4768,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;4768,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026626;;;;;;IPI;0,00;;0,00;0,00;4768,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026627;01;SC;2352,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;2352,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026627;;;;;;IPI;0,00;;0,00;0,00;2352,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026628;01;SC;6914,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;6914,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026628;;;;;;IPI;0,00;;0,00;0,00;6914,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026629;01;SC;74792,40;5905;5905;ICMS;0,00;0,00;0,00;0,00;74792,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026629;;;;;;IPI;0,00;;0,00;0,00;74792,40;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026630;01;SC;23400,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;23400,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026630;;;;;;IPI;0,00;;0,00;0,00;23400,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026631;01;SC;1264,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;1264,80;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026631;;;;;;IPI;0,00;;0,00;0,00;1264,80;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026632;01;SC;71290,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;71290,80;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026632;;;;;;IPI;0,00;;0,00;0,00;71290,80;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026633;01;SC;4762,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;4762,80;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026633;;;;;;IPI;0,00;;0,00;0,00;4762,80;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026634;01;SC;2550,91;5905;5905;ICMS;0,00;0,00;0,00;0,00;2550,91;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026634;;;;;;IPI;0,00;;0,00;0,00;2550,91;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026635;01;SC;40908,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;40908,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026635;;;;;;IPI;0,00;;0,00;0,00;40908,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026636;01;SC;19128,25;5905;5905;ICMS;0,00;0,00;0,00;0,00;19128,25;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026636;;;;;;IPI;0,00;;0,00;0,00;19128,25;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026637;01;SC;62040,30;5905;5905;ICMS;0,00;0,00;0,00;0,00;62040,30;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026637;;;;;;IPI;0,00;;0,00;0,00;62040,30;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026638;01;SC;25668,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;25668,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026638;;;;;;IPI;0,00;;0,00;0,00;25668,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026639;01;SC;18684,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;18684,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026639;;;;;;IPI;0,00;;0,00;0,00;18684,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026640;01;SC;4923,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;4923,00;;1;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026640;;;;;;IPI;0,00;;0,00;0,00;4923,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026641;01;SC;89620,74;5905;5905;ICMS;0,00;0,00;0,00;0,00;89620,74;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026617;;;;;;IPI;0,00;;0,00;0,00;89620,74;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026642;01;SC;89544,74;5905;5905;ICMS;0,00;0,00;0,00;0,00;89544,74;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026618;;;;;;IPI;0,00;;0,00;0,00;89544,74;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026643;01;SC;89579,24;5905;5905;ICMS;0,00;0,00;0,00;0,00;89579,24;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026619;;;;;;IPI;0,00;;0,00;0,00;89579,24;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026644;01;SC;20964,15;5905;5905;ICMS;0,00;0,00;0,00;0,00;20964,15;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026620;;;;;;IPI;0,00;;0,00;0,00;20964,15;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026645;01;SC;44226,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;44226,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026621;;;;;;IPI;0,00;;0,00;0,00;44226,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026646;01;SC;57755,10;5905;5905;ICMS;0,00;0,00;0,00;0,00;57755,10;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026622;;;;;;IPI;0,00;;0,00;0,00;57755,10;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026647;01;SC;5968,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;5968,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026623;;;;;;IPI;0,00;;0,00;0,00;5968,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026648;01;SC;16465,50;5905;5905;ICMS;0,00;0,00;0,00;0,00;16465,50;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026624;;;;;;IPI;0,00;;0,00;0,00;16465,50;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026649;01;SC;8517,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;8517,60;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026625;;;;;;IPI;0,00;;0,00;0,00;8517,60;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026650;01;SC;9108,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;9108,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;;026626;;;;;;IPI;0,00;;0,00;0,00;9108,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
NF;1;026651;01;SC;22516,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;22516,00;;2;01.838.723/0169-88;01/03/2009;31/03/2009
