data_entrada;especie;serie;numero;data_documento;codigo_emitente;uf_orig;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;cod;base_calculo;aliq;imposto_creditado;obs;pagina;cnjp;data_ini;data_fin
01/10/2008;NF;;000001;01/10/2008;301708;MS;55180,20;2501;2501;ICMS;3;55180,20;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000001;;;;;;;IPI;3;55180,20;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000002;01/10/2008;301708;MS;36710,25;2501;2501;ICMS;3;36710,25;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000002;;;;;;;IPI;3;36710,25;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000003;01/10/2008;301708;MS;7859,28;2501;2501;ICMS;3;7859,28;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000003;;;;;;;IPI;3;7859,28;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000004;01/10/2008;301708;MS;65024,31;2501;2501;ICMS;3;65024,31;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000004;;;;;;;IPI;3;65024,31;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000005;01/10/2008;301708;MS;8960,10;2501;2501;ICMS;3;8960,10;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000005;;;;;;;IPI;3;8960,10;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000006;01/10/2008;301708;MS;6789,12;2501;2501;ICMS;3;6789,12;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000006;;;;;;;IPI;3;6789,12;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000007;01/10/2008;301708;MS;8892,00;2501;2501;ICMS;3;8892,00;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000007;;;;;;;IPI;3;8892,00;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000008;01/10/2008;301708;MS;57528,25;2501;2501;ICMS;3;57528,25;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000008;;;;;;;IPI;3;57528,25;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000009;01/10/2008;301708;MS;34777,44;2501;2501;ICMS;3;34777,44;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000009;;;;;;;IPI;3;34777,44;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000010;01/10/2008;301708;MS;7916,16;2501;2501;ICMS;3;7916,16;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000010;;;;;;;IPI;3;7916,16;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000011;01/10/2008;301708;MS;21470,88;2501;2501;ICMS;3;21470,88;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000011;;;;;;;IPI;3;21470,88;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000012;01/10/2008;301708;MS;3187,68;2501;2501;ICMS;3;3187,68;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000012;;;;;;;IPI;3;3187,68;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000013;01/10/2008;301708;MS;28378,68;2501;2501;ICMS;3;28378,68;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000013;;;;;;;IPI;3;28378,68;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000014;01/10/2008;301708;MS;31334,40;2501;2501;ICMS;3;31334,40;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000014;;;;;;;IPI;3;31334,40;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000015;01/10/2008;301708;MS;18300,80;2501;2501;ICMS;3;18300,80;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000015;;;;;;;IPI;3;18300,80;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000016;01/10/2008;301708;MS;6600,00;2501;2501;ICMS;3;6600,00;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000016;;;;;;;IPI;3;6600,00;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000017;01/10/2008;301708;MS;30455,25;2501;2501;ICMS;3;30455,25;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000017;;;;;;;IPI;3;30455,25;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000018;01/10/2008;301708;MS;42698,04;2501;2501;ICMS;3;42698,04;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000018;;;;;;;IPI;3;42698,04;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000019;01/10/2008;301708;MS;6490,50;2501;2501;ICMS;3;6490,50;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000019;;;;;;;IPI;3;6490,50;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000020;01/10/2008;301708;MS;6639,36;2501;2501;ICMS;3;6639,36;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000020;;;;;;;IPI;3;6639,36;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000021;01/10/2008;301708;MS;85858,77;2501;2501;ICMS;3;85858,77;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000021;;;;;;;IPI;3;85858,77;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000022;01/10/2008;301708;MS;7862,40;2501;2501;ICMS;3;7862,40;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000022;;;;;;;IPI;3;7862,40;;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
01/10/2008;NF;;000023;01/10/2008;301708;MS;1320,00;2501;2501;ICMS;3;1320,00;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/10/2008;31/10/2008
