especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;010927;02;SC;75982,50;5905;5905;ICMS;0,00;0,00;0,00;75982,50;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010927;;;;;;IPI;0,00;;0,00;0,00;75982,50;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010928;02;SC;77250,00;5905;5905;ICMS;0,00;0,00;0,00;77250,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010928;;;;;;IPI;0,00;;0,00;0,00;77250,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010929;02;SC;75982,50;5905;5905;ICMS;0,00;0,00;0,00;75982,50;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010929;;;;;;IPI;0,00;;0,00;0,00;75982,50;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010930;02;EX;63243,40;7949;7949;ICMS;0,00;0,00;0,00;63243,40;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010930;;;;;;IPI;0,00;;0,00;0,00;63243,40;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010931;02;EX;63243,40;7949;7949;ICMS;0,00;0,00;0,00;63243,40;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010931;;;;;;IPI;0,00;;0,00;0,00;63243,40;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010932;02;EX;63243,40;7949;7949;ICMS;0,00;0,00;0,00;63243,40;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010932;;;;;;IPI;0,00;;0,00;0,00;63243,40;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010933;02;EX;63243,40;7949;7949;ICMS;0,00;0,00;0,00;63243,40;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010933;;;;;;IPI;0,00;;0,00;0,00;63243,40;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010934;02;EX;63275,70;7949;7949;ICMS;0,00;0,00;0,00;63275,70;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010934;;;;;;IPI;0,00;;0,00;0,00;63275,70;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010935;02;EX;30180,06;7501;7501;ICMS;0,00;0,00;0,00;30180,06;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010935;;;;;;IPI;0,00;;0,00;0,00;30180,06;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010936;02;EX;104286,60;7501;7501;ICMS;0,00;0,00;0,00;104286,60;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010936;;;;;;IPI;0,00;;0,00;0,00;104286,60;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010937;02;EX;102223,69;7501;7501;ICMS;0,00;0,00;0,00;102223,69;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010937;;;;;;IPI;0,00;;0,00;0,00;102223,69;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010938;02;EX;147017,11;7501;7501;ICMS;0,00;0,00;0,00;147017,11;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010938;;;;;;IPI;0,00;;0,00;0,00;147017,11;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010939;02;EX;200647,07;7501;7501;ICMS;0,00;0,00;0,00;200647,07;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010939;;;;;;IPI;0,00;;0,00;0,00;200647,07;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010942;02;EX;49670,40;7949;7949;ICMS;0,00;0,00;0,00;49670,40;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010942;;;;;;IPI;0,00;;0,00;0,00;49670,40;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010943;02;EX;86725,50;7949;7949;ICMS;0,00;0,00;0,00;86725,50;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010943;;;;;;IPI;0,00;;0,00;0,00;86725,50;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010944;02;EX;72290,90;7949;7949;ICMS;0,00;0,00;0,00;72290,90;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010944;;;;;;IPI;0,00;;0,00;0,00;72290,90;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010945;02;EX;63243,40;7949;7949;ICMS;0,00;0,00;0,00;63243,40;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010945;;;;;;IPI;0,00;;0,00;0,00;63243,40;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010946;02;EX;86241,00;7949;7949;ICMS;0,00;0,00;0,00;86241,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010946;;;;;;IPI;0,00;;0,00;0,00;86241,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010947;02;EX;81000,00;7949;7949;ICMS;0,00;0,00;0,00;81000,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010947;;;;;;IPI;0,00;;0,00;0,00;81000,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010948;02;EX;75800,00;7949;7949;ICMS;0,00;0,00;0,00;75800,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010948;;;;;;IPI;0,00;;0,00;0,00;75800,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010949;02;EX;21292,00;7949;7949;ICMS;0,00;0,00;0,00;21292,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010949;;;;;;IPI;0,00;;0,00;0,00;21292,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010950;02;EX;31092,00;7949;7949;ICMS;0,00;0,00;0,00;31092,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010950;;;;;;IPI;0,00;;0,00;0,00;31092,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010951;02;EX;59680,00;7949;7949;ICMS;0,00;0,00;0,00;59680,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010951;;;;;;IPI;0,00;;0,00;0,00;59680,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010952;02;EX;59680,00;7949;7949;ICMS;0,00;0,00;0,00;59680,00;0,00;;1;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010952;;;;;;IPI;0,00;;0,00;0,00;59680,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010953;02;EX;21492,00;7949;7949;ICMS;0,00;0,00;0,00;21492,00;0,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010927;;;;;;IPI;0,00;;0,00;0,00;21492,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010954;02;EX;21492,00;7949;7949;ICMS;0,00;0,00;0,00;21492,00;0,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010928;;;;;;IPI;0,00;;0,00;0,00;21492,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010955;02;EX;21492,00;7949;7949;ICMS;0,00;0,00;0,00;21492,00;0,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010929;;;;;;IPI;0,00;;0,00;0,00;21492,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010956;02;EX;21492,00;7949;7949;ICMS;0,00;0,00;0,00;21492,00;0,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010930;;;;;;IPI;0,00;;0,00;0,00;21492,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010957;02;EX;21292,00;7949;7949;ICMS;0,00;0,00;0,00;21292,00;0,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010931;;;;;;IPI;0,00;;0,00;0,00;21292,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010958;02;EX;21292,00;7949;7949;ICMS;0,00;0,00;0,00;21292,00;0,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010932;;;;;;IPI;0,00;;0,00;0,00;21292,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010959;02;MS;14117,40;6503;6503;ICMS;0,00;0,00;0,00;0,00;14117,40;Devolução da NF: 000965;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010933;;;;;;IPI;0,00;;0,00;0,00;14117,40;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010960;02;MS;502,20;6503;6503;ICMS;0,00;0,00;0,00;0,00;502,20;Devolução da NF: 001947;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010934;;;;;;IPI;0,00;;0,00;0,00;502,20;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010961;02;MS;55,92;6503;6503;ICMS;0,00;0,00;0,00;0,00;55,92;Devolução da NF: 000833;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010935;;;;;;IPI;0,00;;0,00;0,00;55,92;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010962;02;MS;4519,80;6503;6503;ICMS;0,00;0,00;0,00;0,00;4519,80;Devolução da NF: 000119;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010936;;;;;;IPI;0,00;;0,00;0,00;4519,80;;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;1;010963;02;MS;5580,00;6503;6503;ICMS;0,00;0,00;0,00;0,00;5580,00;Devolução da NF: 000777;2;86.547.619/0108-75;01/01/2009;31/01/2009
NF;;010937;;;;;;IPI;0,00;;0,00;0,00;5580,00;;2;86.547.619/0108-75;01/01/2009;31/01/2009
