especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;024052;01;SC;69864,85;5905;5905;ICMS;0,00;0,00;0,00;0,00;69864,85;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024052;;;;;;IPI;0,00;;0,00;0,00;69864,85;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024053;01;SC;88105,50;5905;5905;ICMS;0,00;0,00;0,00;0,00;88105,50;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024053;;;;;;IPI;0,00;;0,00;0,00;88105,50;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024054;01;SC;78673,32;5905;5905;ICMS;0,00;0,00;0,00;0,00;78673,32;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024054;;;;;;IPI;0,00;;0,00;0,00;78673,32;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024055;01;SC;17652,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;17652,60;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024055;;;;;;IPI;0,00;;0,00;0,00;17652,60;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024056;01;SC;6948,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;6948,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024056;;;;;;IPI;0,00;;0,00;0,00;6948,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024057;01;SC;11819,70;5905;5905;ICMS;0,00;0,00;0,00;0,00;11819,70;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024057;;;;;;IPI;0,00;;0,00;0,00;11819,70;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024058;01;SC;68445,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;68445,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024058;;;;;;IPI;0,00;;0,00;0,00;68445,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024059;01;SC;134632,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;134632,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024059;;;;;;IPI;0,00;;0,00;0,00;134632,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024060;01;SC;134632,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;134632,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024060;;;;;;IPI;0,00;;0,00;0,00;134632,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024061;01;SC;134632,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;134632,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024061;;;;;;IPI;0,00;;0,00;0,00;134632,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024062;01;SC;30774,45;5905;5905;ICMS;0,00;0,00;0,00;0,00;30774,45;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024062;;;;;;IPI;0,00;;0,00;0,00;30774,45;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024063;01;SC;9111,90;5905;5905;ICMS;0,00;0,00;0,00;0,00;9111,90;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024063;;;;;;IPI;0,00;;0,00;0,00;9111,90;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024064;01;SC;17557,92;5905;5905;ICMS;0,00;0,00;0,00;0,00;17557,92;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024064;;;;;;IPI;0,00;;0,00;0,00;17557,92;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024065;01;SC;6984,90;5905;5905;ICMS;0,00;0,00;0,00;0,00;6984,90;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024065;;;;;;IPI;0,00;;0,00;0,00;6984,90;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024066;01;SC;2802,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;2802,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024066;;;;;;IPI;0,00;;0,00;0,00;2802,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024067;01;SC;18765,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;18765,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024067;;;;;;IPI;0,00;;0,00;0,00;18765,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024068;01;SC;7290,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;7290,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024068;;;;;;IPI;0,00;;0,00;0,00;7290,00;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024069;01;SC;6260,80;5905;5905;ICMS;0,00;0,00;0,00;0,00;6260,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024069;;;;;;IPI;0,00;;0,00;0,00;6260,80;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024070;01;SC;1436,20;5905;5905;ICMS;0,00;0,00;0,00;0,00;1436,20;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024070;;;;;;IPI;0,00;;0,00;0,00;1436,20;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;1;024071;01;SC;59673,60;5905;5905;ICMS;0,00;0,00;0,00;0,00;59673,60;;1;01.838.723/0169-88;01/06/2009;30/06/2009
NF;;024071;;;;;;IPI;0,00;;0,00;0,00;59673,60;;1;01.838.723/0169-88;01/06/2009;30/06/2009
