especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;019218;01;SC;32896,32;5905;5905;ICMS;0,00;0,00;0,00;0,00;32896,32;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;;019218;;;;;;IPI;0,00;;0,00;0,00;32896,32;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;1;019219;01;SC;27831,12;5905;5905;ICMS;0,00;0,00;0,00;0,00;27831,12;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;;019219;;;;;;IPI;0,00;;0,00;0,00;27831,12;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;1;019220;01;SC;66403,42;5905;5905;ICMS;0,00;0,00;0,00;0,00;66403,42;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;;019220;;;;;;IPI;0,00;;0,00;0,00;66403,42;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;1;019221;01;SC;114102,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;114102,00;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;;019221;;;;;;IPI;0,00;;0,00;0,00;114102,00;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;1;019222;01;SC;12420,00;5905;5905;ICMS;0,00;0,00;0,00;0,00;12420,00;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;;019222;;;;;;IPI;0,00;;0,00;0,00;12420,00;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;1;019223;01;SC;84527,58;5905;5905;ICMS;0,00;0,00;0,00;0,00;84527,58;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;;019223;;;;;;IPI;0,00;;0,00;0,00;84527,58;;1;86.547.619/0108-75;01/02/2009;28/02/2009
NF;1;019224;01;SC;3933,36;5905;5905;ICMS;0,00;0,00;0,00;0,00;3933,36;;1;86.547.619/0108-75;01/02/2009;28/02/2009
